name,rel_TSS,activation,meas_DNase,pred_DNase,meas_ATAC,pred_ATAC,meas_CAGE,pred_CAGE
RAG7-133,-185,3.65,0.2210376113653183,0.6073834300041199,2.0213499069213867,0.8629888892173767,0.0,0.022000359371304512
RAG7-162,-214,2.98,0.04420752450823784,3.34354829788208,1.7314900159835815,1.098907709121704,0.0,0.015044362284243107
RAG7-694,-746,2.7,0.0,0.09446761012077332,0.3648799955844879,0.489743173122406,0.0,0.007706495467573404
RAG7-892,-944,2.7,0.0,0.13020390272140503,0.16767999529838562,0.380368173122406,0.0,0.0021250233985483646
RAG7-177,-229,2.48,0.04420752450823784,3.34354829788208,1.6766300201416016,1.098907709121704,0.0,0.007349553983658552
RAG7-132,-184,2.35,0.2210376113653183,0.6073834300041199,2.0291900634765625,0.8629888892173767,0.0,0.022000359371304512
RAG7-139,-191,2.25,0.2210376113653183,0.6073834300041199,1.912559986114502,0.45937323570251465,0.0,0.022000359371304512
RAG7-178,-230,2.08,0.04420752450823784,3.34354829788208,1.6754599809646606,1.098907709121704,0.0,0.007349553983658552
RAG7-846,-898,1.65,0.0,0.10810627043247223,0.15995000302791595,0.19875094294548035,0.0,0.002151699271053076
RAG7-707,-759,1.43,0.0,0.09446761012077332,0.35710999369621277,0.476077139377594,0.0,0.007706495467573404
